UE : GI-5-R&D1-s1,,,,,,,
EC : GI-5-DSC-S1,Data Science,,,,,,
ECTS,1,,,,,,
Nbre H,20,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 2,Exploiter un modèle d’un système réel ou virtuel,,,,,M
,Compétence 5,Traiter des données,,,,,2
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,2
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,1
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,2
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Mettre en oeuvre une démarche de science des données,,"Fondements du processus de découverte de connaissances
Plusieurs techniques de classification supervisée, non-supervisée et de fouille de motifs",,,,,
