UE : GI-5-ENTR-S1,,,,,,,
EC : GI-5-ERG-S1,Ergonomie,,,,,,
ECTS,1,,,,,,
Nbre H,16,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,C
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,C
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,C
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,C
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Comprendre l'activité pour adapter et développer des environnements de travail idoines,,,,,,,
Identifier les conditions  de bien être et de qualité de vie au travail,,,,,,,
Apprendre à repérer les facteurs de Risques Psychosociaux au travail,,,,,,,
Diagnostiquer des situations de travail problématiques,,,,,,,
