UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-GMA-S1,Gestion Maintenance Assistée par Ordinateur,,,,,,
ECTS,2,,,,,,
Nbre H,22,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,2
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,1
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,1
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,2
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Comprendre les enjeux de l'achat d'une GMAO (8,11)",,Les fonctions d'une GMAO,,,,,
"Définir une politique de maintenance (1,2,3,5,7,9,11)",,Les processus de maintenance,,,,,
,,L'optimisation de la maintenance,,,,,
,,"Les outils de la maintenance (documentations constructeur, fiabilité, etc.)",,,,,
