UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-INR-S1,Initiation à la recherche,,,,,,
ECTS,2,,,,,,
Nbre H,14,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 2,Exploiter un modèle d’un système réel ou virtuel,,,,,M
,Compétence 3,Mettre en œuvre une démarche expérimentale ,,,,,2
,Compétence 5,Traiter des données,,,,,1
,Compétence 6,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,,,,,1
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,2
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,2
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,2
,Compétence 14,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,M
,Compétence 15,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,2
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,M
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,2
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,M
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,2
,Compétence 33,Travailler dans un contexte international et interculturel,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Développer une démarche de recherche / innovation : appropriation du sujet, formalisation du problème de recherche et/ou des pistes de résolution, développement de solutions et expérimentations ",,Problématiques de recherche en génie industriel,,,,,
,,Retour d'expérience de formalisation d'un problème de recherche,,,,,
,,Retour d'expérience de développement de solution et expérimentations,,,,,
