UE : GI-5-ENTR-S1,,,,,,,
EC : GI-5-KNM-S1,Knowledge management,,,,,,
ECTS,2,,,,,,
Nbre H,20,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,1
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,M
,Compétence 12,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production",,,,,1
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,1
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,1
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,1
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,M
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,1
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,1
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,M
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,M
,Compétence 31,Agir de manière responsable dans un monde complexe ,,,,,1
,Compétence 32,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Distinguer les type de connaissance créées par l'exploitation de l'information et de la communication,,Le patrimoine industriel lié aux connaissances ,,,,,
" Identifier le capital industriel (humain, technologique, organisationnel, informationnel) liés à la gestion des connaissances ",," information, savoirs et connaissances ",,,,,
 Evaluer les limites des systèmes de gestion des connaissances,,"  Méthode de gestion des connaissances dans l'industrie, les outils collaboratif de gestion des connaissances ",,,,,
,, Les outils numériques de gestion des connaissances ,,,,,
,, Stratégies de gestion des connaissances et amélioration continue ,,,,,
,," Connaissances et structure technologiques, humaine et organisationnelle  ",,,,,
