UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-LEA-S1,Lean,,,,,,
ECTS,2,,,,,,
Nbre H,18,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,C
,Compétence 12,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production",,,,,C
,Compétence 14,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,C
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,C
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,C
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,C
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,C
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Mener une démarche de résolution de problèmes et d'exposer la démarche sous la forme d'un poster A3 (16) ,,"Les fondamentaux et principes du Lean Manufacturing et du Lean Management: 7 gaspillages, 3M,juste à temps, jidoka, standardisation,...",,,,,
" Utiliser le VSM pour cartographier le flux valeur l'état initial et concevoir une cartographie remaniée intégrant les principes de la production au plus juste et de la qualité parfaite (8, 12) ",,Les changements de comportements nécessaires dans une transformation Lean,,,,,
 Identifier les activités à valeur ajoutée et les sources de gaspillages à partir d'étude de cas et de situation réelles (7) ,,"La relation entre la démarche Lean et les autres démarches de l'Excellence Opérationnelle (Six Sigma, TOC)",,,,,
" Définir les actions de progrès à mettre en oeuvre (16, 18) ",,"Les outils du Lean (lissage, flux continu, SMED, 5S, 8D, AIC…)",,,,,
" Appliquer les outils du Lean (flux continu, flux tiré, SMED, 5S, lissage, arrêt au premier défaut) sur un cas concret (simulation d'atelier de production) (11, 12, 14, 16,18, 19, 30) ",,Les facteurs clés de succès et pièges à éviter dans l'animation d'une démarche Lean,,,,,
" Accompagner les changements de comportements dans les organisations Lean (24, 25)",,La méthode du VSM,,,,,
