UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-LOG-S1,Organisation et Gestion de la chaine logistique et implantation de systèmes de production,,,,,,
ECTS,3,,,,,,
Nbre H,28,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,Compétence 11,Piloter un système de production et réagir aux dysfonctionnements,,,,,C
,Compétence 12,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production",,,,,C
,Compétence 14,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,C
,Compétence 15,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",,,,,C
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,C
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,C
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"
Déterminer la Performance de Supply Chain",,Méthodes de prévision de la demande,,,,,
"Identifier la meilleure localisation dans la chaîne d'approvisionnement pour l’usine, l’entrepôt, le hub, etc",,Méthodes de planification de la production,,,,,
Concevoir des réseaux de distribution sous incertitude,,Méthodes de gestion des stocks sous incertitude,,,,,
Etablir la Prévision de la demande dans une chaîne logistique,,Méthodes de conception et de configuration de systèmes de production,,,,,
Déterminer la planification globale de la chaîne logistique,,,,,,,
Identifier des stratégies de La gestion des stocks sous incertitude,,,,,,,
Optimiser le Transport et déterminer le routage dans une chaîne d'approvisionnement et de distribution,,,,,,,
Optimiser conjointement  transport et  stocks,,,,,,,
Equilibrer une ligne d’assemblage,,,,,,,
Concevoir un entrepôt,,,,,,,
Configurer des cellules manufacturières via la technologie du groupe,,,,,,,
"Concevoir un système de fabrication intelligent, l'usine de l'avenir",,,,,,,
"Déterminer des méthodes d’aide à la décision pour la Configuration du système de production dans le contexte de l'Industrie 4.0, de l'Internet des objets Big Data 
",,,,,,,
