UE : GI-5-ENTR-S1,,,,,,,
EC : GI-5-MRH-S1,Management des Ressources Humaines ,,,,,,
ECTS,2,,,,,,
Nbre H,22,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,C
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
Analyser avantages et limites de différentes politiques et pratiques de management dans des contextes divers ,,"Finalités et méthodes de gestion des ressources humaines, instances représentatives du personnel, principaux enjeux des relations sociales en entreprise ",,,,,
Consolider ses apprentissages en management suite aux projets collectifs et aux stages industriels ,,Management et gestion des ressources humaines : travail en équipe et information-communication ,,,,,
S'initier à la gestion des ressources humaines et aux relations sociales ,, Rôles de l'encadrement et styles de management ,,,,,
Clarifier son projet professionnel et se situer comme manager ,," Principes et outils de GRH (recrutement, évaluation et gestion des compétences, rémunération, gestion de carrière, etc.) ",,,,,
" Renforcer ses aptitudes à l'écoute et en communication interpersonnelle, y compris dans des contextes culturels nouveaux ",, Motivation et management du changement ,,,,,
"
",,"Relations sociales et contrat de travail : dialogue social, IRP, organisations syndicales et négociations collectives ",,,,,
,, conventions collectives ,,,,,
,, éléments de droit du travail ,,,,,
,, Management interculturel.,,,,,
