UE : GI-5-TAI 1A-S1,,,,,,,
EC : GI-5-PSI-S1,Pilotage des systèmes industriels  ,,,,,,
ECTS,1,,,,,,
Nbre H,16,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,2
,Compétence 3,Mettre en œuvre une démarche expérimentale,,,,,2
,Compétence 4,Concevoir un système répondant à un cahier des charges,,,,,2
,Compétence 5,Traiter des données,,,,,2
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,M
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,1
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,3
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,Compétence 26,Mettre en œuvre une démarche de responsabilité sociétale,,,,,M
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,3
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,3
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Organiser une table ronde (20,29,30) ",,Analyse SWOT () ,,,,,
 Cerner une problématique industrielle (1),, Système d'information pour la conduite et le pilotage des systèmes industriels () ,,,,,
" Définir les enjeux et les risques industriels tant sur le plan structurel qu'organisationnel (5,6,17) ",, CBA ().,,,,,
" Interpeller des intervenants industriels (26,29,30) ",,,,,,,
" Savoir maîtriser un débat (6,20,29) ",,,,,,,
