,UE,EC,Intitulé,,,Compétences école,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacités,Connaissances
,,,,,,ECOLE,,,,,,SPECIFIQUES GI,,,,,,,,,,,,,,,,,,,,TRANSVERSES,,,,,,,,
,,,,,,,,,,,,Ingénierie industrielle et supply chain,,,,,,,,,Amélioration continue,,,,Management de projet,,,,Homme et entreprise,,,,,,,,,,,
,,,,ECTS,HEURES,Analyser un système (ou un problème) réel ou virtuel,Exploiter un modèle d’un système réel ou virtuel,Mettre en œuvre une démarche expérimentale,Concevoir un système répondant à un cahier des charges,Traiter des données,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données","Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ","Evaluer, prototyper ou simuler un système",Dimensionner la partie matérielle et/ou logicielle d'un système ,Piloter un système de production et réagir aux dysfonctionnements ,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production ",Élaborer et mettre en œuvre une stratégie d’achats ,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,Prendre en compte l'innovation technologique et méthodologique,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ","Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ","Identifier, analyser et maîtriser les risques inhérents à un projet ","Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser , Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,Mettre en œuvre une démarche de responsabilité sociétale,"Se connaître, se gérer physiquement et mentalement ","Travailler, apprendre, évoluer de manière autonome ","Interagir avec les autres, travailler en équipe ","Faire preuve de créativité, innover, entreprendre ",Agir de manière responsable dans un monde complexe ,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",Travailler dans un contexte international et interculturel,,
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
SEMESTRE 5,GI-3-AUTOM-S1,GI-3-ECC-S1,Environnement chaîne de commande ,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GI-3-ISL-S1,Introduction aux systèmes linéaire,1,14,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,C,,,,,,Définir un système à étudier;Caractériser les éléments de structure d'un système;Déterminer la fonction de transfert globale du système;Identifier le système,"La notion de système dynamique continu du premier et du second ordre;Les  systèmes simple entrée et simple sortie dans le domaine de la production mécanique, de la robotique ou des transports. "
,GI-3-MOI-S1,GI-3-IGP-S1,Introduction à la gestion de production,1,22,M,M,,,,,M,2,,3,2,3,M,3,,,,,,,,,,,,,,,,,,,,"Situer les fonctions et objectifs de la gestion de production pour une entreprise de production de biens (7,8, 10, 12,13);Gérer les approvisionnements et les stocks d'une entreprise (14);Choisir la méthode de gestion la plus adaptée à un contexte donné (1, 2);Calculer les charges et gérer des ressources de production à moyen et long terme (11)","Processus de gestion de production (horizon/période des différentes activités de décision;Interdépendance des décisions)(11,12);Vocabulaire de la GP;Notions de flux poussés/tirés;Points de découplage;Les modes de gestion des stocks (14)"
,,GI-3-PRS-S1,Probabilités statistiques ,3,44,3,3,M ,,3,3,2,,2,,,,,2,,2,,,,,,,,,,,,,,,,,,"Calculer la probabilité d'un événement complexe, défini à partir d'événements simples ou par dénombrement (1,2,14);Modéliser un phénomène aléatoire en choisissant une loi de probabilité appropriée (1,5,6,7,14);Calculer et interpréter les principaux indicateurs associés à une variable aléatoire (2,3,5,6,7,9,14);Déterminer le comportement moyen d'un phénomène sur un grand nombre d'expériences aléatoires (2,3,5);Calculer un risque client / un risque fournisseur en fonction d'une procédure de contrôle qualité (2,7,14,16);Estimer les paramètres d'une population statistique à partir d'un échantillon de données (estimation ponctuelle et par intervalle de confiance) (1,2,3,5,7,9);Mettre en oeuvre un test statistique pour valider (ou non) une hypothèse relative à une population (1,2,3,5,6,7,9)","Notion de probabilité (1,2,3,5,6,7,9,14,16);Schémas d'analyse combinatoire (1,2,14);Lois du calcul probabiliste (1,2,14);Notion de probabilités conditionnelles et d'événements indépendants (1,2,6,7,9,16);Notion de variable aléatoire (1,2,6,7,14);Principaux indicateurs de variables aléatoires (espérance, variance ...) (1,2,3,5,6,7,9,14);Principales distributions de probabilités (1,2,3,5,6,7,14);Théorème central limite (1,2,3,5,6);Notions d'échantillon, de population et d'inférence statistique (1,2,3,5,6,7,9,16);Risque client et risque fournisseur (1,2,6,7,14,16);Estimation ponctuelle (1,2,3,5,6,7,9);Intervalles de confiance (1,2,3,5,6,7,9);Test statistique unilatéral / bilatéral (1,2,3,5,6,7,9);Tests d'estimation (1,2,3,5,6,7,9);Tests de comparaison (1,2,3,5,6,7,9);Tests d'adéquation (1,2,3,5,6,7,9);Tests d'indépendance (1,2,3,5,6,7,9)."
,,GI-3-IOI-S1,Initiation à l'organisation industrielle,1,20,,,,,,,C,,,,C,,,,,C,,C,C,,,,,,,,,M,M,2,,M,,"Découvrir une méthodologie de résolution de problème autour d'un cas logistique (1,5);Mettre en oeuvre les outils de la Qualité en gestion de projet (16);Découvrir les différentes phases et étapes de résolution(16);Diagnostiquer les performances logistiques et industrielles d'une entreprise (7);Analyser les indicateurs de performances (7,3);Identifier les sources de ralentissement de flux et les actions correctives (7);Dérouler une démarche de progrès PDCA (11,16);Construire une stratégie de développement industriel et commercial (18,19)","Phases de résolution de problème : poser le problème, identifier les origines, trouver des solutions, les mettre en application et vérifier que les objectifs annoncés sont atteints (5,16);Outils de la qualité : QQOQCP, feuille de relevé, digrammes, pareto, brainstorming, Ishikawa, matrice de vote (1,5,16);Organisation d'une entreprise;Logique de circulation des flux physiques et d'information et leurs interactions;Les causes de ralentissement de flux et les solutions envisageables;Les démarches de progrès PDCA, DMAIC"
,GI-3-INFO-S1,GI-3-ALP-S1,Algorithmique et programmation,3,42,2,2,,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,"Avoir une démarche structurée de programmation en vue de la résolution d'un problème complexe (1, 4, 8) ; Rédiger les spécifications d'un problème complexe (1, 4, 8) ; Construire des algorithmes en pseudo-langage à partir de spécifications (2, 9) ;Transcrire un algorithme écrit en pseudo-langage en programme Java (2, 9)","Types, variables, actions élémentaires (8) ; Fonctions/procédures (8) ;Structures de contrôle séquentielles, conditionnelles et itératives (8) ; Algorithmes fondamentaux sur les tableaux (tri, recherche dichotomique) (2, 9), Algorithmes fondamentaux sur les listes chaînées, les piles, les files, les arbres, les graphes (création, insertion, suppression, parcours) (2, 9);"
