,UE,EC,Intitulé,,,Compétences école,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacités,Connaissances
,,,,,,ECOLE,,,,,,SPECIFIQUES GI,,,,,,,,,,,,,,,,,,,,TRANSVERSES,,,,,,,,
,,,,,,,,,,,,Ingénierie industrielle et supply chain,,,,,,,,,Amélioration continue,,,,Management de projet,,,,Homme et entreprise,,,,,,,,,,,
,,,,ECTS,HEURES,Analyser un système (ou un problème) réel ou virtuel,Exploiter un modèle d’un système réel ou virtuel,Mettre en œuvre une démarche expérimentale,Concevoir un système répondant à un cahier des charges,Traiter des données,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données","Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ","Evaluer, prototyper ou simuler un système",Dimensionner la partie matérielle et/ou logicielle d'un système ,Piloter un système de production et réagir aux dysfonctionnements ,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production ",Élaborer et mettre en œuvre une stratégie d’achats ,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,Prendre en compte l'innovation technologique et méthodologique,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ","Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ","Identifier, analyser et maîtriser les risques inhérents à un projet ","Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser , Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,Mettre en œuvre une démarche de responsabilité sociétale,"Se connaître, se gérer physiquement et mentalement ","Travailler, apprendre, évoluer de manière autonome ","Interagir avec les autres, travailler en équipe ","Faire preuve de créativité, innover, entreprendre ",Agir de manière responsable dans un monde complexe ,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",Travailler dans un contexte international et interculturel,,
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
SEMESTRE 7,GI-4-AUT1-S1,GI-4-AUT-S1,Automation,3,34,,,,,,,C,C,C,C,C,C,,,,,,,C,M,,M,M,,,,,,M,M,C,,M,"Analyser, dimensionner et concevoir un système automatisé de production: en termes de pilotage d'outils de production (1,3,4,5,7,8,9,10,11,12,20,23,28,29,31) ; Spécifier les besoins des Systèmes Automatisés de Production (3,5,6,8,28) ; Utiliser une méthode d'analyse et de conception d'un S.A.P (1,2,3,4,5,8,9,10,11,12,19,20,23,27,28,29,30,31,33).","Les architectures d'automatisme (de la couche  physique (capteurs et actionneurs intelligents, réseaux locaux industriels, ...) à l'informatique de contrôle-commande) (5,8,10,12,19) ; Les méthodologies de projet d'automatismes (29,23,22,21,20) ; Les outils de conception et développement d'automatismes (5,7,9,8,12)."
,,GI-4-SDF-S2,Sûreté de Fonctionnement  ,1,16,,,,,,,,C,,,C,,,,C,,,C,C,,,C,C,,,,,C,C,,,,,"Appréhender les phénomènes de dysfonctionnement () ; Analyse préliminaire de Risques () ; Durée de vie, Fiabilité, Disponibilité, Maintenabilité des structures matérielles et organisationnelles () ; Contrat, engagement et pénalités () ; Négocier des solutions renforçant la tolérance aux fautes () ;  Indicateurs de performances () ; Dimenssionnement ().","Définir un argumentaire pour le dimenssionnement (); MTBF MTTF MTTR () ; Graphe d'états, chaîne de Markov () ; Arbre de Fautes, Diagramme de fiabilité () ; Réduction des matrices de taux de transtion () ; Etats de service approprié, inappropriés () ; Aide à la décision ()."
,,GI-4-SIG-S1,Simulation - généralités,1,14,,,,,,,C,C,C,,,C,,,,,,,,,,C,,,,,,C,,,,,,"Dimensionner et Analyser des systèmes physiques et de flux (2,5) ; Valider par simulation des processus physiques et de flux (7,8,9) ; Abstraction entrée/sortie, flux d'entrée, flux de sortie (12) ; Définir et valider des hypothèses (7,8) ; Interprétation statistique des sorties (8,9) ; Choix des scenarii (22); Exploiter un outil de simulation (9) ; Exploiter d'un cahier des Charges  pour appréhender un système au travers de flux physiques et discret (28).","Comportement physique d'une chaîne d' Actionneurs et  de Capteurs (8) ; Lois de distribution de variables aléatoires, comportement stochastiques de flux discrets (7,8,9) ; Condition du régime permanent et instabilité (2,5)."
,GI-4-GP SIM-S1,GI-4-GPA-S1,Gestion de production approfondie ,1,18,2,2,2,,,,M,3,,,2,2,,M,,2,,3,,,,2,1,1,,,,M,,,,,,"Spécifier un problème d'ordonnancement; choisir ou proposer une méthode de résolution d'un problème d'ordonnancement d'atelier la plus adaptée à un contexte donné, et l'appliquer;Comprendre la problématique de gestion des prévisions; Choisir la méthode de prévision adaptée à un contexte donné et l'appliquer;Choisir la brique applicative d'un système d'information d'entreprise (ERP, ...) la plus adaptée à un contexte donné;Gérer un projet d'implantation d'ERP.","Techniques et méthodes d'ordonnancement d'atelier (machine unique, machines parallèles, flowshop, jobshop, organisations hybrides);Techniques et méthodes d'ordonnancement de projet (PERT,...);Méthodes de prévisions et leur place dans la gestion de la demande;Briques applicatives composant les systèmes d'informations d'entreprise (ERP, ...) et leur relations;Démarche de mise en œuvre d'ERP"
,,GI-4-ORD-S1,Ordonnancement et gestion de flux (projet),2,28,,,,,,,C,C,C,C,C,,,,,,,,,,,C,,,,,,C,C,C,,,,"Identifier des méthodes de calcul du temps opératoire et de calcul des charges prévisionnelles (personnel et équipement) ; Caractériser les données techniques (opérations, ressources, temps opératoires, gammes, ordres de fabrication ...);Réaliser un Ordonnancement à capacité finie et infinie;Étudier les effets du choix d'une heuristique de séquencement, ainsi que des périodes de travail ; Prendre en compte les contraintes (chevauchement, fractionnement, insécabilité, etc.) et gérer les aléas de production (panne sur une machine ...) ;Analyser et évaluer les caractéristiques techniques et financières du logiciel d'ordonnancement.
",Méthodes d'optimisation;Politique d’ordonnancement en fonction de charge d’atelier;Calcul de rentabilité financière d’un projet  
