,UE,EC,Intitulé,,,Compétences école,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacités,Connaissances
,,,,,,ECOLE,,,,,,SPECIFIQUES GI,,,,,,,,,,,,,,,,,,,,TRANSVERSES,,,,,,,,
,,,,,,,,,,,,Ingénierie industrielle et supply chain,,,,,,,,,Amélioration continue,,,,Management de projet,,,,Homme et entreprise,,,,,,,,,,,
,,,,ECTS,HEURES,Analyser un système (ou un problème) réel ou virtuel,Exploiter un modèle d’un système réel ou virtuel,Mettre en œuvre une démarche expérimentale,Concevoir un système répondant à un cahier des charges,Traiter des données,Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données","Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ","Evaluer, prototyper ou simuler un système",Dimensionner la partie matérielle et/ou logicielle d'un système ,Piloter un système de production et réagir aux dysfonctionnements,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production",Élaborer et mettre en œuvre une stratégie d’achats ,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,Prendre en compte l'innovation technologique et méthodologique,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ","Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ","Identifier, analyser et maîtriser les risques inhérents à un projet ","Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser , Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,Mettre en œuvre une démarche de responsabilité sociétale,"Se connaître, se gérer physiquement et mentalement ","Travailler, apprendre, évoluer de manière autonome ","Interagir avec les autres, travailler en équipe ","Faire preuve de créativité, innover, entreprendre ",Agir de manière responsable dans un monde complexe ,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",Travailler dans un contexte international et interculturel,,
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,
SEMESTRE 9,GI-5-R&D1-s1,GI-5-OTP-S1,Optimisation conjointe du Transport et de la Production,1,20,M,2,,,,,,2,M,,2,1,,M,1,,,,2,,,,,,,,,,,,,,,Poser et résoudre un problème d'optimisation de la chaîne logistique d'un point de vue transport et gestion des flux,"Problèmes  classiques  de transport.
Principes et outils permettant la prise de décisions distribuées."
,,GI-5-DSC-S1,Data Science,1,20,M,M,,,2,,2,1,M,,,,,,,,,,2,,,,,,,,,,,,,,,Mettre en oeuvre une démarche de science des données,"Fondements du processus de découverte de connaissances
Plusieurs techniques de classification supervisée, non-supervisée et de fouille de motifs"
,,GI-5-IFU-S1,Industrie du futur (Projet),2,24,3,,3,,3,,3,,M,,3,1,,M,1,,,,3,M,,,,,,,,,3,,,,,"Mettre en œuvre les connaissances et capacités acquises en optimisation de la chaîne logistique et data science.
Proposer une démarche scientifique à mettre en oeuvre pour répondre à une problématique",
,,GI-5-RGI-S1,Recherche en Génie Industriel,3,24,M,M,3,,1,3,3,3,3,,,,,M,M,,,,3,M,,M,,,,,,3,M,3,,,M,"Mobiliser les connaissances théoriques pertinentes pour attaquer un sujet de recherche actuel et ""state-of-the-art"".
Réaliser un état de l'art sur une question de recherche.
Comprendre et formuler une problématique de recherche sur un problème de génie industriel ouvert et encore non exploré.
Mener une démarche de recherche sur un projet long.
Rédiger un document respectant les standards rédactionnels d'un article de recherche.
Emettre des pistes de contribution au traitement d'une problématique.",
,GI-5-ENTR-S1,HUM-PPH,PPH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GI-5-MRH-S1,Management des Ressources Humaines ,2,22,,,,,,,,,,,,,,,,,,,,,,M,,C,,M,M,M,C,,M,C,,"Analyser avantages et limites de différentes politiques et pratiques de management dans des contextes divers ;Consolider ses apprentissages en management suite aux projets collectifs et aux stages industriels ;S'initier à la gestion des ressources humaines et aux relations sociales ;Clarifier son projet professionnel et se situer comme manager ; Renforcer ses aptitudes à l'écoute et en communication interpersonnelle, y compris dans des contextes culturels nouveaux ;
","Finalités et méthodes de gestion des ressources humaines, instances représentatives du personnel, principaux enjeux des relations sociales en entreprise ;Management et gestion des ressources humaines : travail en équipe et information-communication ; Rôles de l'encadrement et styles de management ; Principes et outils de GRH (recrutement, évaluation et gestion des compétences, rémunération, gestion de carrière, etc.) ; Motivation et management du changement ;Relations sociales et contrat de travail : dialogue social, IRP, organisations syndicales et négociations collectives ; conventions collectives ; éléments de droit du travail ; Management interculturel."
